2020-02-04 16:57:35 status config-files pinguybuilder:all 5.1-8
2020-02-04 16:57:35 startup packages configure
2020-02-04 16:57:35 trigproc desktop-file-utils:amd64 0.23-1ubuntu3.18.04.2 <none>
2020-02-04 16:57:35 status half-configured desktop-file-utils:amd64 0.23-1ubuntu3.18.04.2
2020-02-04 16:57:35 status installed desktop-file-utils:amd64 0.23-1ubuntu3.18.04.2
2020-02-04 16:57:35 trigproc man-db:amd64 2.8.3-2ubuntu0.1 <none>
2020-02-04 16:57:35 status half-configured man-db:amd64 2.8.3-2ubuntu0.1
2020-02-04 16:57:37 status installed man-db:amd64 2.8.3-2ubuntu0.1
2020-02-04 16:57:37 trigproc gnome-menus:amd64 3.13.3-11ubuntu1.1 <none>
2020-02-04 16:57:37 status half-configured gnome-menus:amd64 3.13.3-11ubuntu1.1
2020-02-04 16:57:37 status installed gnome-menus:amd64 3.13.3-11ubuntu1.1
2020-02-04 16:57:37 trigproc hicolor-icon-theme:all 0.17-2 <none>
2020-02-04 16:57:37 status half-configured hicolor-icon-theme:all 0.17-2
2020-02-04 16:57:38 status installed hicolor-icon-theme:all 0.17-2
2020-02-04 16:57:38 trigproc mime-support:all 3.60ubuntu1 <none>
2020-02-04 16:57:38 status half-configured mime-support:all 3.60ubuntu1
2020-02-04 16:57:38 status installed mime-support:all 3.60ubuntu1
2020-02-04 16:57:38 startup packages purge
2020-02-04 16:57:38 purge pinguybuilder:all 5.1-8 <none>
2020-02-04 16:57:38 status config-files pinguybuilder:all 5.1-8
2020-02-04 16:57:38 status config-files pinguybuilder:all 5.1-8
2020-02-04 16:57:39 status config-files pinguybuilder:all 5.1-8
2020-02-04 16:57:39 status config-files pinguybuilder:all 5.1-8
2020-02-04 16:57:39 status config-files pinguybuilder:all 5.1-8
2020-02-04 16:57:39 status not-installed pinguybuilder:all <none>
2020-02-04 16:57:40 startup packages configure
2020-02-05 13:46:47 startup archives unpack
2020-02-05 13:46:50 upgrade sudo:amd64 1.8.21p2-3ubuntu1.1 1.8.21p2-3ubuntu1.2
2020-02-05 13:46:50 status half-configured sudo:amd64 1.8.21p2-3ubuntu1.1
2020-02-05 13:46:50 status unpacked sudo:amd64 1.8.21p2-3ubuntu1.1
2020-02-05 13:46:50 status half-installed sudo:amd64 1.8.21p2-3ubuntu1.1
2020-02-05 13:46:51 status triggers-pending man-db:amd64 2.8.3-2ubuntu0.1
2020-02-05 13:46:52 status half-installed sudo:amd64 1.8.21p2-3ubuntu1.1
2020-02-05 13:46:52 status unpacked sudo:amd64 1.8.21p2-3ubuntu1.2
2020-02-05 13:46:53 status unpacked sudo:amd64 1.8.21p2-3ubuntu1.2
2020-02-05 13:46:53 upgrade tcpdump:amd64 4.9.2-3 4.9.3-0ubuntu0.18.04.1
2020-02-05 13:46:53 status half-configured tcpdump:amd64 4.9.2-3
2020-02-05 13:46:54 status unpacked tcpdump:amd64 4.9.2-3
2020-02-05 13:46:54 status half-installed tcpdump:amd64 4.9.2-3
2020-02-05 13:46:54 status half-installed tcpdump:amd64 4.9.2-3
2020-02-05 13:46:54 status unpacked tcpdump:amd64 4.9.3-0ubuntu0.18.04.1
2020-02-05 13:46:55 status unpacked tcpdump:amd64 4.9.3-0ubuntu0.18.04.1
2020-02-05 13:46:56 upgrade libwebkit2gtk-4.0-37:amd64 2.26.2-0ubuntu0.18.04.1 2.26.3-0ubuntu0.18.04.1
2020-02-05 13:46:56 status triggers-pending libc-bin:amd64 2.27-3ubuntu1
2020-02-05 13:46:56 status half-configured libwebkit2gtk-4.0-37:amd64 2.26.2-0ubuntu0.18.04.1
2020-02-05 13:46:56 status unpacked libwebkit2gtk-4.0-37:amd64 2.26.2-0ubuntu0.18.04.1
2020-02-05 13:46:56 status half-installed libwebkit2gtk-4.0-37:amd64 2.26.2-0ubuntu0.18.04.1
2020-02-05 13:47:01 status half-installed libwebkit2gtk-4.0-37:amd64 2.26.2-0ubuntu0.18.04.1
2020-02-05 13:47:01 status unpacked libwebkit2gtk-4.0-37:amd64 2.26.3-0ubuntu0.18.04.1
2020-02-05 13:47:01 status unpacked libwebkit2gtk-4.0-37:amd64 2.26.3-0ubuntu0.18.04.1
2020-02-05 13:47:01 upgrade libjavascriptcoregtk-4.0-18:amd64 2.26.2-0ubuntu0.18.04.1 2.26.3-0ubuntu0.18.04.1
2020-02-05 13:47:01 status half-configured libjavascriptcoregtk-4.0-18:amd64 2.26.2-0ubuntu0.18.04.1
2020-02-05 13:47:01 status unpacked libjavascriptcoregtk-4.0-18:amd64 2.26.2-0ubuntu0.18.04.1
2020-02-05 13:47:01 status half-installed libjavascriptcoregtk-4.0-18:amd64 2.26.2-0ubuntu0.18.04.1
2020-02-05 13:47:03 status half-installed libjavascriptcoregtk-4.0-18:amd64 2.26.2-0ubuntu0.18.04.1
2020-02-05 13:47:03 status unpacked libjavascriptcoregtk-4.0-18:amd64 2.26.3-0ubuntu0.18.04.1
2020-02-05 13:47:03 status unpacked libjavascriptcoregtk-4.0-18:amd64 2.26.3-0ubuntu0.18.04.1
2020-02-05 13:47:04 upgrade gir1.2-webkit2-4.0:amd64 2.26.2-0ubuntu0.18.04.1 2.26.3-0ubuntu0.18.04.1
2020-02-05 13:47:04 status half-configured gir1.2-webkit2-4.0:amd64 2.26.2-0ubuntu0.18.04.1
2020-02-05 13:47:04 status unpacked gir1.2-webkit2-4.0:amd64 2.26.2-0ubuntu0.18.04.1
2020-02-05 13:47:04 status half-installed gir1.2-webkit2-4.0:amd64 2.26.2-0ubuntu0.18.04.1
2020-02-05 13:47:04 status half-installed gir1.2-webkit2-4.0:amd64 2.26.2-0ubuntu0.18.04.1
2020-02-05 13:47:05 status unpacked gir1.2-webkit2-4.0:amd64 2.26.3-0ubuntu0.18.04.1
2020-02-05 13:47:05 status unpacked gir1.2-webkit2-4.0:amd64 2.26.3-0ubuntu0.18.04.1
