v8-version,7,1,302,31,0
code-creation,Builtin,3,3614,0x561e6a1e5520,293,ArrayFindIndexLoopAfterCallbackLazyDeoptContinuation
code-creation,Builtin,3,3620,0x561e6a1e5660,1728,ArrayPrototypeFindIndex
code-creation,Builtin,3,3624,0x561e6a1e5d40,289,ArrayPrototypeKeys
code-creation,Builtin,3,3628,0x561e6a1e5e80,297,ArrayPrototypeValues
code-creation,Builtin,3,3636,0x561e6a1e5fc0,4172,ArrayIteratorPrototypeNext
code-creation,Builtin,3,3641,0x561e6a1e7020,3884,FlattenIntoArray
code-creation,Builtin,3,3645,0x561e6a1e7f60,3932,FlatMapIntoArray
code-creation,Builtin,3,3649,0x561e6a1e8ec0,516,ArrayPrototypeFlat
code-creation,Builtin,3,3653,0x561e6a1e90e0,572,ArrayPrototypeFlatMap
code-creation,Builtin,3,3657,0x561e6a1e9320,12,ArrayBufferConstructor
code-creation,Builtin,3,3662,0x561e6a1e9340,12,ArrayBufferConstructor_DoNotInitialize
code-creation,Builtin,3,3667,0x561e6a1e9360,12,ArrayBufferPrototypeGetByteLength
code-creation,Builtin,3,3672,0x561e6a1e9380,12,ArrayBufferIsView
code-creation,Builtin,3,3676,0x561e6a1e93a0,12,ArrayBufferPrototypeSlice
code-creation,Builtin,3,3680,0x561e6a1e93c0,2232,AsyncFunctionAwaitCaught
code-creation,Builtin,3,3685,0x561e6a1e9c80,2232,AsyncFunctionAwaitUncaught
code-creation,Builtin,3,3689,0x561e6a1ea540,122,AsyncFunctionAwaitRejectClosure
code-creation,Builtin,3,3694,0x561e6a1ea5c0,118,AsyncFunctionAwaitResolveClosure
code-creation,Builtin,3,3699,0x561e6a1ea640,360,AsyncFunctionPromiseCreate
code-creation,Builtin,3,3703,0x561e6a1ea7c0,158,AsyncFunctionPromiseRelease
code-creation,Builtin,3,3708,0x561e6a1ea860,12,BigIntConstructor
code-creation,Builtin,3,3712,0x561e6a1ea880,12,BigIntAsUintN
code-creation,Builtin,3,3716,0x561e6a1ea8a0,12,BigIntAsIntN
code-creation,Builtin,3,3720,0x561e6a1ea8c0,12,BigIntPrototypeToLocaleString
code-creation,Builtin,3,3724,0x561e6a1ea8e0,12,BigIntPrototypeToString
code-creation,Builtin,3,3729,0x561e6a1ea900,12,BigIntPrototypeValueOf
code-creation,Builtin,3,3733,0x561e6a1ea920,12,BooleanConstructor
code-creation,Builtin,3,3737,0x561e6a1ea940,190,BooleanPrototypeToString
code-creation,Builtin,3,3741,0x561e6a1eaa00,186,BooleanPrototypeValueOf
code-creation,Builtin,3,3746,0x561e6a1eaac0,12,CallSitePrototypeGetColumnNumber
code-creation,Builtin,3,3750,0x561e6a1eaae0,12,CallSitePrototypeGetEvalOrigin
code-creation,Builtin,3,3755,0x561e6a1eab00,12,CallSitePrototypeGetFileName
code-creation,Builtin,3,3760,0x561e6a1eab20,12,CallSitePrototypeGetFunction
code-creation,Builtin,3,3764,0x561e6a1eab40,12,CallSitePrototypeGetFunctionName
code-creation,Builtin,3,3769,0x561e6a1eab60,12,CallSitePrototypeGetLineNumber
code-creation,Builtin,3,3774,0x561e6a1eab80,12,CallSitePrototypeGetMethodName
code-creation,Builtin,3,3778,0x561e6a1eaba0,12,CallSitePrototypeGetPosition
code-creation,Builtin,3,3783,0x561e6a1eabc0,12,CallSitePrototypeGetScriptNameOrSourceURL
code-creation,Builtin,3,3788,0x561e6a1eabe0,12,CallSitePrototypeGetThis
code-creation,Builtin,3,3792,0x561e6a1eac00,12,CallSitePrototypeGetTypeName
code-creation,Builtin,3,3797,0x561e6a1eac20,12,CallSitePrototypeIsAsync
code-creation,Builtin,3,3801,0x561e6a1eac40,12,CallSitePrototypeIsConstructor
code-creation,Builtin,3,3806,0x561e6a1eac60,12,CallSitePrototypeIsEval
code-creation,Builtin,3,3810,0x561e6a1eac80,12,CallSitePrototypeIsNative
code-creation,Builtin,3,3815,0x561e6a1eaca0,12,CallSitePrototypeIsToplevel
code-creation,Builtin,3,3819,0x561e6a1eacc0,12,CallSitePrototypeToString
code-creation,Builtin,3,3823,0x561e6a1eace0,12,ConsoleDebug
code-creation,Builtin,3,3827,0x561e6a1ead00,12,ConsoleError
code-creation,Builtin,3,3831,0x561e6a1ead20,12,ConsoleInfo
code-creation,Builtin,3,3835,0x561e6a1ead40,12,ConsoleLog
code-creation,Builtin,3,3839,0x561e6a1ead60,12,ConsoleWarn
code-creation,Builtin,3,3843,0x561e6a1ead80,12,ConsoleDir
code-creation,Builtin,3,3847,0x561e6a1eada0,12,ConsoleDirXml
code-creation,Builtin,3,3851,0x561e6a1eadc0,12,ConsoleTable
code-creation,Builtin,3,3854,0x561e6a1eade0,12,ConsoleTrace
code-creation,Builtin,3,3858,0x561e6a1eae00,12,ConsoleGroup
code-creation,Builtin,3,3862,0x561e6a1eae20,12,ConsoleGroupCollapsed
code-creation,Builtin,3,3866,0x561e6a1eae40,12,ConsoleGroupEnd
code-creation,Builtin,3,3871,0x561e6a1eae60,12,ConsoleClear
code-creation,Builtin,3,3874,0x561e6a1eae80,12,ConsoleCount
code-creation,Builtin,3,3878,0x561e6a1eaea0,12,ConsoleCountReset
